region,code
Not assigned,0
Eastern Africa,1
Central Africa,2
North Africa,3
Southern Africa,4
Western Africa,5
Central America and Mexico,6
Northern America,7
South America,8
Central Asia,9
East Asia,10
Southeast Asia,11
South Asia,12
Middle East,13
Eastern Europe,14
Northern Europe,15
Southern Europe,16
Western Europe,17
Aus/NZ,18
