country,region,percentage,median_percentage,continent
Nicaragua,Central America and Mexico,0.928753492209603,0.8194123131090988,Americas
Niger,Western Africa,0.8676437259159018,0.8206128837841787,Africa
Nigeria,Western Africa,0.9114849162612723,0.8206128837841787,Africa
Norway,Northern Europe,0.8320643863882926,0.6558348913992449,Europe
Pakistan,South Asia,0.8746708615328552,0.8461742963251473,Asia
Palestine,Middle East,0.9082341117983321,0.8421886744738257,Middle East and North Africa
Panama,Central America and Mexico,0.8701179180461405,0.8194123131090988,Americas
Paraguay,South America,0.7771853638598835,0.8194123131090988,Americas
Peru,South America,0.7020276962283174,0.8194123131090988,Americas
Philippines,Southeast Asia,0.7873598855708961,0.8461742963251473,Asia
Poland,Eastern Europe,0.7759000687589991,0.6558348913992449,Europe
Portugal,Southern Europe,0.8076637384222118,0.6558348913992449,Europe
Romania,Eastern Europe,0.6521081461358071,0.6558348913992449,Europe
Russia,Eastern Europe,0.4463316828097059,0.6558348913992449,Europe
Rwanda,Eastern Africa,0.9353981408011192,0.8206128837841787,Africa
Saudi Arabia,Middle East,0.8451071615659518,0.8421886744738257,Middle East and North Africa
Senegal,Western Africa,0.733648279178559,0.8206128837841787,Africa
Serbia,Southern Europe,0.6595616366626826,0.6558348913992449,Europe
Sierra Leone,Western Africa,0.9275960826817952,0.8206128837841787,Africa
Singapore,Southeast Asia,0.7619201144970944,0.8461742963251473,Asia
Slovakia,Eastern Europe,0.7324740637029271,0.6558348913992449,Europe
Slovenia,Southern Europe,0.7026216267071237,0.6558348913992449,Europe
South Africa,Southern Africa,0.8231987859786722,0.8206128837841787,Africa
South Korea,East Asia,0.4865487800769757,0.8461742963251473,Asia
Spain,Southern Europe,0.7964759426207985,0.6558348913992449,Europe
Sri Lanka,South Asia,0.8648181964306899,0.8461742963251473,Asia
Eswatini,Southern Africa,0.7558018850987722,0.8206128837841787,Africa
Sweden,Northern Europe,0.6984934992582077,0.6558348913992449,Europe
Switzerland,Western Europe,0.5264549204053768,0.6558348913992449,Europe
Taiwan,East Asia,0.5660420010968811,0.8461742963251473,Asia
Tajikistan,Central Asia,0.9132556177285437,0.8461742963251473,Asia
Tanzania,Eastern Africa,0.9553248557705468,0.8206128837841787,Africa
Thailand,Southeast Asia,0.9258005103790817,0.8461742963251473,Asia
The Gambia,Western Africa,0.8750210734310425,0.8206128837841787,Africa
Togo,Western Africa,0.5116570541773132,0.8206128837841787,Africa
Tunisia,North Africa,0.772538258435147,0.8206128837841787,Africa
Turkey,Middle East,0.8179293168301862,0.8421886744738257,Middle East and North Africa
Turkmenistan,Central Asia,0.8572975255752376,0.8461742963251473,Asia
Uganda,Eastern Africa,0.855233669479714,0.8206128837841787,Africa
Ukraine,Eastern Europe,0.2928529389888846,0.6558348913992449,Europe
United Arab Emirates,Middle East,0.8358233724005042,0.8421886744738257,Middle East and North Africa
United Kingdom,Northern Europe,0.7515199259727092,0.6558348913992449,Europe
United States,Northern America,0.7209093656899119,0.8194123131090988,Americas
Uruguay,South America,0.7239453213121861,0.8194123131090988,Americas
Uzbekistan,Central Asia,0.9234588999880313,0.8461742963251473,Asia
Venezuela,South America,0.9222134241769857,0.8194123131090988,Americas
Vietnam,Southeast Asia,0.7084443302196088,0.8461742963251473,Asia
Yemen,Middle East,0.8421886744738257,0.8421886744738257,Middle East and North Africa
Zambia,Eastern Africa,0.8054475526699446,0.8206128837841787,Africa
Zimbabwe,Eastern Africa,0.8514194335951919,0.8206128837841787,Africa
